City,Latitude,Longitude
"Austin, TX",30.267153,-97.7430608
"Bergen, Norway",60.3912628,5.3220544
"Bogotá, Columbia",4.7109886,-74.072092
"Chicago, IL",41.8781136,-87.6297982
"Denver, CO",39.7392358,-104.990251
"Detroit, MI",42.331427,-83.0457538
"Kelowna, Canada",49.8879519,-119.4960106
"Long Beach, CA",33.7700504,-118.1937395
"Los Angeles, CA",34.0522342,-118.2436849
"Louisville, KY",38.2526647,-85.7584557
"Miami, FL",25.7616798,-80.1917902
"Minneapolis, MN",44.977753,-93.2650108
"Philadelphia, PA",39.9525839,-75.1652215
"Pittsburgh, PA",40.4406248,-79.9958864
"Portland, OR",45.515232,-122.6783853
"San Francisco, CA",37.7749295,-122.4194155
"San Jose, CA",37.3382082,-121.8863286
"Santa Monica, CA",34.0194543,-118.4911912
"Seattle, WA",47.6062095,-122.3320708
"Ulm, Germany",48.4010822,9.9876076
"Washington, DC",38.9071923,-77.0368707
"Arlington, VA",38.8799697,-77.1067698
"Atlanta, GA",33.7489954,-84.3879824
"Auckland, New Zealand",-36.8508827,174.7644881
"Baltimore, MD",39.2903848,-76.6121893
"Brisbane, Australia",-27.4704528,153.0260341
"Calgary, Canada",51.0447331,-114.0718831
"Canberra, Australia",-35.2801903,149.1310038
"Charlotte, NC",35.2270869,-80.8431267
"Charlottesville, VA",38.0293059,-78.4766781
"Cleveland, OH",41.49932,-81.6943605
"Dayton, OH",39.7589478,-84.1916069
"El Paso, TX",31.7618778,-106.4850217
"Edmonton, Canada",53.5461245,-113.4938229
"Hamburg, Germany",53.5510846,9.9936818
"Indianapolis, IN",39.768403,-86.158068
"Kansas City, MO",39.0997265,-94.5785667
"Nashville, TN",36.1626638,-86.7816016
"Newark, NJ",40.735657,-74.1723667
"Milwaukee, WI",43.0389025,-87.9064736
"Montgomery County, MD",39.1547426,-77.2405153
"Oakland, CA",37.8043514,-122.2711639
"Omaha, NE",41.2565369,-95.9345034
"Providence, RI",41.8239891,-71.4128343
"Sacramento, CA",38.5815719,-121.4943996
"San Diego, CA",32.715738,-117.1610838
"Wellington, New Zealand",-41.2923814,174.7787463
"Zapopan, Mexico",20.6719563,-103.416501
"Bellevue, WA",47.6101497,-122.2015159