Savivaldybė,Statusas,Įkeltos transporto pozicijos per dieną (balandžio 28)
Akmenės rajono savivaldybė,Neteikiama,
Alytaus miesto savivaldybė,Teikiama,24973
Alytaus rajono savivaldybė,Neteikiama,
Anykščių rajono savivaldybė,Neteikiama,
Birštono savivaldybė,Neteikiama,
Biržų rajono savivaldybė,"Teikiama, tačiau nesurišta su reisu",1578
Druskininkų savivaldybė,Teikiama,7950
Elektrėnų savivaldybė,Neteikiama,
Ignalinos rajono savivaldybė,Neteikiama,
Jonavos rajono savivaldybė,Neteikiama,
Joniškio rajono savivaldybė,Neteikiama,
Jurbarko rajono savivaldybė,Neteikiama,
Kaišiadorių rajono savivaldybė,Neteikiama,
Kalvarijos savivaldybė,Neteikiama,
Kauno miesto savivaldybė,Teikiama,
Kauno rajono savivaldybė,Neteikiama,
Kazlų Rūdos savivaldybė,"Teikiama, tačiau nesurišta su reisu",497
Kėdainių rajono savivaldybė,Neteikiama,
Kelmės rajono savivaldybė,Neteikiama,
Klaipėdos miesto savivaldybė,Teikiama,134714
Klaipėdos rajono savivaldybė,Neteikiama,
Kretingos rajono savivaldybė,"Teikiama, tačiau nesurišta su reisu",8166
Kupiškio rajono savivaldybė,Neteikiama,
Lazdijų rajono savivaldybė,Neteikiama,
Marijampolės savivaldybė,"Teikiama, tačiau nesurišta su reisu",496
Mažeikių rajono savivaldybė,Neteikiama,
Molėtų rajono savivaldybė,Neteikiama,
Neringos savivaldybė,Neteikiama,
Pagėgių savivaldybė,Neteikiama,
Pakruojo rajono savivaldybė,"Teikiama, tačiau nesurišta su reisu",2995
Palangos miesto savivaldybė,Neteikiama,
Panevėžio miesto savivaldybė,Teikiama,
Panevėžio rajono savivaldybė,Neteikiama,
Pasvalio rajono savivaldybė,Neteikiama,
Plungės rajono savivaldybė,Neteikiama,
Prienų rajono savivaldybė,Neteikiama,
Radviliškio rajono savivaldybė,Neteikiama,
Raseinių rajono savivaldybė,Neteikiama,
Rietavo savivaldybė,Neteikiama,
Rokiškio rajono savivaldybė,"Teikiama, tačiau nesurišta su reisu",2845
Šakių rajono savivaldybė,Neteikiama,
Šalčininkų rajono savivaldybė,Neteikiama,
Šiaulių miesto savivaldybė,Teikiama,60530
Šiaulių rajono savivaldybė,Neteikiama,
Šilalės rajono savivaldybė,Neteikiama,
Šilutės rajono savivaldybė,Neteikiama,
Širvintų rajono savivaldybė,"Teikiama, tačiau nesurišta su reisu",915
Skuodo rajono savivaldybė,Neteikiama,
Švenčionių rajono savivaldybė,Neteikiama,
Tauragės rajono savivaldybė,Neteikiama,
Telšių rajono savivaldybė,Neteikiama,
Trakų rajono savivaldybė,Neteikiama,
Ukmergės rajono savivaldybė,"Teikiama, tačiau nesurišta su reisu",2152
Utenos rajono savivaldybė,Neteikiama,
Varėnos rajono savivaldybė,Neteikiama,
Vilkaviškio rajono savivaldybė,"Teikiama, tačiau nesurišta su reisu",494
Vilniaus miesto savivaldybė,Teikiama,572736
Vilniaus rajono savivaldybė,Neteikiama,
Visagino savivaldybė,Neteikiama,
Zarasų rajono savivaldybė,Neteikiama,