Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,
Autobusai,2G,16842581548,4024,25267838,54671630,0,90,948,-3,59762,KZ,
Troleibusai,9,17274911541,2593,25295328,54726758,0,198,941,0,59826,,
Troleibusai,19,17367961540,2693,25340730,54724460,0,194,940,0,59820,KZ,
Troleibusai,4,17368221606,1639,25260300,54680148,0,230,966,-45,59833,,
Troleibusai,19,17368041559,2572,25304638,54704790,12,4,959,-125,59661,,
Troleibusai,4,17368211627,1116,25233688,54659758,11,8,987,108,59822,,
Autobusai,30,16202891610,786,25281620,54695278,6,182,970,497,59641,KZ,
Troleibusai,18,17038761635,2107,25219870,54733558,38,178,995,-4,59776,,
Troleibusai,9,17274891554,2711,25208970,54689418,0,222,954,121,59823,KZ,
Troleibusai,18,17038791554,2646,25222410,54718060,16,16,954,289,59825,,
Autobusai,1G,17218071621,4193,25279938,54690088,15,356,981,135,59810,KWNZD,
Troleibusai,19,17368031626,1612,25315120,54712648,8,192,986,-20,59823,,
Autobusai,3G,17337191612,4585,25272300,54691980,0,102,972,346,59823,KWNZD,
Troleibusai,17,17330911617,1737,25301638,54698798,39,206,977,35,59529,KWNZ,
Troleibusai,10,17367741556,1637,25274110,54691490,32,290,956,95,59819,,
Autobusai,3G,17337211547,4590,25279488,54643398,0,8,947,0,59831,KZ,
Autobusai,5G,17311151625,4600,25229638,54716270,21,106,985,174,59822,KWNZD,
Autobusai,7,17375321626,8040,25221298,54697490,0,26,986,108,59825,KWNZ,
Autobusai,30,16202871627,792,25181718,54710148,0,96,987,-34,59534,KZ,
Autobusai,21,16202811615,782,25255530,54677500,27,56,975,-56,59824,KZ,
Autobusai,74,17220701627,3019,25411508,54688330,18,298,987,-6,59472,KZ,
Troleibusai,2,17330841620,1587,25277460,54684710,21,30,980,34,59414,,
Troleibusai,10,17367811631,1741,25318970,54723430,31,236,991,-65,59835,KZ,
Troleibusai,16,17367851631,2127,25277128,54672910,0,254,991,-299,59645,,
Autobusai,3G,17337221604,4561,25269220,54672178,0,168,964,-46,59826,KWNZD,
Autobusai,115,17375211602,765,25329298,54708350,0,266,962,-2,59699,KZ,
Autobusai,5G,17311051553,4555,25341190,54724808,0,190,953,0,59837,KWNZD,
Troleibusai,9,17274931619,2103,25282250,54694718,0,286,979,-219,59825,,
Autobusai,56,17337571619,4535,25269130,54693758,44,138,979,222,59824,KWNZ,
Troleibusai,9,17274951603,1700,25234110,54700548,35,274,963,49,59827,,
Troleibusai,10,17367761609,1118,25293600,54716838,14,242,969,370,59771,,
Autobusai,5G,17311121612,4011,25293208,54716700,0,238,972,443,59710,Z,
Autobusai,74,17220681634,3015,25282768,54671880,17,330,994,47,59768,KZ,
Autobusai,40,17337461634,4124,25267330,54693170,27,320,994,143,59835,KWNZ,
Troleibusai,6,17367661618,1535,25283770,54704018,0,186,978,31,59833,,
Autobusai,2G,16842681614,4158,25238008,54729828,47,260,974,-67,59409,KWNZD,
Troleibusai,7,17274861604,2611,25221440,54716728,0,26,964,-115,59832,,
Troleibusai,2,17330831605,1631,25316500,54716140,18,14,965,9,59770,,
Autobusai,2G,16842621542,4198,25283128,54671348,8,148,942,0,59829,KWNZD,
Autobusai,36,17337371621,954,25278748,54734600,23,346,981,58,59704,Z,
Autobusai,46,17337541622,4012,25236228,54729550,0,150,982,561,59773,Z,
Troleibusai,1,16492271614,2761,25251998,54689438,39,340,974,97,59571,KWNZ,
Autobusai,33,17219891559,2-673,25338718,54663048,0,112,959,106,59827,,
Troleibusai,6,17367701538,1134,25298220,54725600,11,352,938,178,59837,,
Autobusai,114,17310741626,7032,25308278,54723998,31,42,986,71,59832,KWNZ,
Autobusai,4G,17343801007,8039,25172598,54703208,0,80,607,,59801,KWNZ,
Autobusai,88,17275901607,7009,25281078,54650170,22,264,967,0,59832,KWNZ,
Troleibusai,6,17367671552,1719,25283400,54701928,16,4,952,389,59830,Z,
Autobusai,1G,17217961606,4155,25286908,54713978,5,346,966,249,59774,KWNZD,
Autobusai,53,17375011554,4554,25256398,54712138,33,346,954,0,59290,KWNZD,
Autobusai,58,16799631558,754,25287858,54671738,0,254,958,0,59835,Z,
Autobusai,10,17311311631,4112,25294708,54678498,36,304,991,-27,59819,KWNZ,
Autobusai,27,15902311615,711,25317858,54683090,41,240,975,170,59826,,
Troleibusai,7,17274711625,2696,25222598,54721310,0,166,985,-26,59411,KZ,
Autobusai,35,17337331605,936,25332860,54760358,35,38,965,228,59826,Z,
Autobusai,1G,17218091612,4178,25280090,54692380,0,206,972,-8,59827,KWNZD,
Autobusai,1G,17217981616,4162,25281870,54696930,35,4,976,96,59697,KWNZD,
Troleibusai,2,,1131,25317398,54719880,25,196,,,59110,,
Autobusai,1G,17218021623,4164,25284960,54721478,18,142,983,0,59820,KWNZD,
Autobusai,10,17311241612,957,25283470,54702218,20,8,972,41,59832,Z,
Troleibusai,2,17330771632,1706,25324718,54726120,0,226,992,2,59837,KZ,
Troleibusai,12,16493161603,1666,25278140,54685400,19,196,963,10,59591,,
Troleibusai,7,17274791548,2697,25218948,54734760,0,102,948,0,59787,KZ,
Autobusai,18,17219741623,762,25373438,54731250,38,164,983,-30,59827,Z,
Troleibusai,9,17274961607,2545,25301248,54698168,25,34,967,-43,59837,,
Autobusai,3G,17337181558,4564,25269670,54670998,0,168,958,190,59714,KWNZD,
Autobusai,33,17219911636,4547,25301728,54710790,0,102,996,0,59713,KWNZ,
Autobusai,2G,16842591607,4163,25222210,54699970,0,192,967,99,59830,KWNZD,
Troleibusai,20,16493490934,1558,25295928,54726708,0,134,574,0,59765,,
Troleibusai,7,17274811619,2754,25250408,54695070,30,346,979,-73,59827,KZ,
Autobusai,43,16828041611,8031,25234718,54715188,42,310,971,211,59830,KWNZ,
Autobusai,61,17136221622,7037,25319970,54649090,46,114,982,149,59830,KWNZ,
Troleibusai,18,17038801606,2749,25212868,54689668,44,46,966,220,59593,KWNZ,
Autobusai,14,17275571626,7060,25398250,54632558,66,2,986,-45,59827,KWNZ,
Autobusai,114,17310771629,7013,25382940,54734400,54,268,989,-14,59827,KWNZ,
Autobusai,62,16417341625,7023,25173628,54631940,32,168,985,85,59534,KWNZ,
Autobusai,50,16215141614,4128,25284928,54707230,6,196,974,57,59833,KWNZ,
Troleibusai,13,17368281551,2563,25219370,54735230,13,298,951,0,59818,,
Autobusai,3,16663001632,988,25191748,54604128,3,82,992,51,59772,Z,
Autobusai,4G,17343791556,8019,25194918,54706898,59,300,956,-132,59829,KWNZ,
Troleibusai,17,17330951550,1678,25295178,54726908,0,220,950,0,59828,KZ,
Troleibusai,6,17367711557,1590,25280200,54692050,12,20,957,149,59477,,
Troleibusai,18,17038751559,2561,25201830,54643990,26,274,959,-67,59834,,
Autobusai,5G,17311101617,4168,25256850,54710670,11,58,977,140,59831,KWNZD,
Autobusai,43,16828051606,8012,25281548,54694650,1,174,966,109,59825,KWNZ,
Autobusai,75,16203161635,790,25279778,54751068,43,186,995,-19,59831,KZ,
Autobusai,50,16215091629,977,25310420,54705100,15,216,989,-48,59832,Z,
Autobusai,55,16737531629,8029,25214610,54673580,0,46,989,60,59823,KWNZ,
Autobusai,4G,17343811621,8049,25304358,54705190,32,210,981,44,59834,KWNZ,
Troleibusai,17,17330881544,1607,25295230,54726738,0,168,944,0,59830,,
Troleibusai,9,17274901636,2667,25206920,54686938,26,22,996,-12,59839,,
Autobusai,5,17311221603,989,25232838,54735590,14,324,963,-28,59827,Z,
Autobusai,53,17374991609,4022,25283210,54701670,35,192,969,201,59826,KZ,
Troleibusai,6,17367601602,1638,25269390,54681828,37,296,962,-7,59837,,
Autobusai,33,17219921553,4543,25292728,54712090,0,10,953,25,59822,KWNZ,
Autobusai,7,17375341617,8050,25295818,54719430,15,194,977,379,59827,KWNZ,
Troleibusai,2,17330761627,1722,25315200,54712788,4,190,987,-79,59827,KWNZ,
Troleibusai,4,,1109,25238208,54667818,6,20,,,59222,,
Troleibusai,7,17274841635,2604,25218668,54729730,5,200,995,-30,59828,,
Troleibusai,4,17368091545,1643,25213048,54648090,35,226,945,75,59471,,
Autobusai,3G,17337141617,4553,25271218,54691718,0,38,977,94,59819,KWNZD,
Troleibusai,2,17330811614,1108,25308758,54697658,36,2,974,7,59837,,
Autobusai,31,16214191626,4170,25412520,54681840,8,168,986,-40,59819,KWNZD,
Autobusai,89,17375101618,4612,25286960,54684730,31,108,978,7,59830,KWNZ,
Autobusai,23,16492381612,3107,25248438,54673940,0,64,972,66,59835,KWNZ,
Autobusai,114,17310761558,7031,25372658,54733150,30,350,958,171,59446,KWNZ,
Autobusai,2G,16842661600,705,25208268,54687268,65,222,960,288,59832,KZ,
Troleibusai,7,17274851552,2671,25218710,54734728,0,160,952,0,59799,,
Autobusai,3G,17337161628,4557,25273668,54663080,0,302,988,98,59828,KWNZD,
Autobusai,76,17337641611,713,25340900,54778738,2,48,971,527,59828,KZ,
Troleibusai,7,17274681624,2484,25274730,54685988,0,316,984,40,59779,,
Troleibusai,1,16492261628,2126,25215598,54693840,0,26,988,58,59589,,
Autobusai,9,15656951632,602,25179528,54600258,52,56,992,-26,59583,,
Autobusai,35,17337311635,953,25285460,54708060,16,20,995,68,59829,Z,
Autobusai,27,15902321635,971,25431490,54702378,0,148,995,-54,59647,Z,
Autobusai,14,17275561603,7057,25409420,54653350,23,202,963,14,59832,KWNZ,
Autobusai,3G,17337041614,4571,25267458,54698168,0,66,974,59,59591,KWNZD,
Troleibusai,16,17367901638,2752,25283280,54670238,10,168,998,-108,59829,KWNZ,
Troleibusai,6,17367551603,1591,25281908,54694588,24,24,963,57,59833,,
Troleibusai,13,17368261602,2624,25219110,54703898,0,288,962,267,59817,,
Troleibusai,16,17367881540,2120,25234420,54728348,0,134,940,0,59823,,
Autobusai,7,17375291603,8047,25290648,54715930,0,238,963,1059,59825,KWNZ,
Autobusai,5G,17311081605,4565,25243510,54709568,29,244,965,285,59829,KWNZD,
Autobusai,87,16663161613,947,25195708,54770948,0,344,973,195,59837,Z,
Autobusai,33,,4525,25295690,54678080,41,298,,,59218,KWNZ,
Autobusai,65,16307601613,7001,25331668,54770278,41,142,973,22,59717,KWNZ,
Troleibusai,4,17368151629,1731,25310998,54705958,1,210,989,-66,59771,KWNZ,
Troleibusai,18,17038731621,2622,25215430,54706400,0,182,981,95,59596,,
Autobusai,73,16737291605,3105,25244520,54709828,0,254,965,-58,59702,KWNZ,
Autobusai,1G,17218061626,4187,25278050,54679340,11,340,986,176,59829,KWNZD,
Autobusai,3G,17337081625,4593,25251650,54709580,0,162,985,-46,59835,KWNZD,
Autobusai,74,17220651614,3037,25296730,54676600,27,262,974,8,59829,KZ,
Autobusai,10,17311231621,4110,25287800,54687868,0,142,981,96,59823,KWNZ,
Autobusai,16,16663041559,4183,25285588,54671258,0,260,959,0,59812,KWNZD,
Troleibusai,7,17274771544,2748,25219248,54734658,0,110,944,0,59832,KWNZ,
Autobusai,34,17283121539,937,25286448,54671468,0,252,939,138,59823,UZ,
Autobusai,7,17375271548,8038,25300820,54710810,17,138,948,0,59781,KWNZ,
Troleibusai,6,17367581546,1619,25212668,54647848,32,226,946,-41,59826,,
Troleibusai,9,17274881625,2695,25238368,54699868,42,110,985,1,59822,KZ,
Autobusai,46,17337531601,4503,25219628,54735128,0,302,961,0,59794,KWNZ,
Autobusai,63,16347821618,4533,25221768,54698978,23,94,978,-16,59840,KWNZ,
Autobusai,1G,17218001601,4196,25286808,54717190,35,358,961,537,59834,KWNZD,
Troleibusai,7,17274721605,2128,25278150,54679240,0,164,965,-65,59832,,
Autobusai,39,16663081609,4126,25318358,54722278,0,164,969,0,59780,KWNZ,
Troleibusai,10,17367771627,1728,25267920,54687350,0,10,987,-67,59833,KWNZ,
Autobusai,59,16227961632,3123,25224530,54699660,38,262,992,30,59826,KWNZ,
Autobusai,53,17374981602,4598,25261820,54712640,50,258,962,164,59833,KWNZD,
Autobusai,26,17154691605,7025,25285240,54721358,0,126,965,-6,59832,KWNZ,
Autobusai,6G,16213421604,3016,25431010,54685428,0,78,964,0,59776,KZ,
Troleibusai,12,16493171627,1495,25235820,54663330,0,20,987,41,59834,,
Autobusai,5G,17311141634,4580,25218640,54729570,0,200,994,21,59823,KWNZD,
Autobusai,49,17181001612,4537,25217430,54692900,3,28,972,67,59769,KWNZ,
Autobusai,2G,16842701618,4026,25255240,54672878,34,318,978,128,59412,KZ,
Troleibusai,21,16493531622,1654,25313320,54708538,0,62,982,-61,59837,,
Troleibusai,16,17367891636,2685,25233598,54726828,19,190,996,-24,59833,Z,
Autobusai,115,17375201605,4544,25406628,54692798,33,116,965,4,59827,KWNZ,
Troleibusai,2,17330721626,1674,25279920,54690240,1,358,986,-117,59837,KZ,
Troleibusai,10,17367721615,1655,25283168,54700748,0,6,975,-93,59833,,
Autobusai,42,17337491619,4153,25271070,54654718,38,194,979,226,59833,KWNZD,
Autobusai,78,,4165,25253620,54634360,27,208,,,59023,KWNZD,
Autobusai,4G,17343821635,8010,25175000,54706420,25,0,995,10,59824,KWNZ,
Autobusai,10,17311301549,753,25306680,54676780,0,102,949,509,59832,KZ,
Autobusai,3G,17337131601,4552,25254168,54707328,46,330,961,159,59708,KWNZD,
Troleibusai,20,16493521603,1115,25278358,54690758,0,270,963,1,59476,,
Troleibusai,18,17038781550,2122,25184618,54650520,0,188,950,0,59829,,
Troleibusai,16,17367911627,2613,25226258,54708230,27,176,987,19,59802,,
Troleibusai,10,17367801533,1664,25274158,54662700,0,12,933,0,59506,,
Troleibusai,7,17274691613,2690,25235268,54700498,29,280,973,67,59828,KZ,
Autobusai,2G,16842691635,4021,25280048,54752608,0,188,995,0,59827,KZ,
Troleibusai,16,17367931548,2645,25234268,54728430,0,218,948,0,59830,,
Autobusai,1G,17218041606,4160,25278848,54687268,11,264,966,133,59823,KWNZD,
Troleibusai,4,17368131634,1698,25210708,54646458,12,48,994,25,59829,KZ,
Autobusai,3,16662981611,730,25266748,54639948,0,350,971,-4,59831,Z,
Autobusai,53,17375001630,4601,25284780,54674148,10,34,990,-25,59656,KWNZD,
Autobusai,40,17337451618,961,25254770,54730840,56,170,978,149,59469,Z,
Troleibusai,12,16493141536,1739,25201878,54643638,0,220,936,0,59833,KWNZ,
Autobusai,2G,16842531632,4587,25282118,54672100,23,304,992,56,59707,WNZD,
Autobusai,58,,758,25293168,54720018,0,6,,,59828,KZ,
Troleibusai,12,16493191613,1732,25259920,54679810,3,68,973,335,59835,KWNZ,
Autobusai,30,16202881612,3109,25277148,54695458,15,114,972,124,59767,KWNZ,
Troleibusai,7,17274751610,2755,25245360,54698778,20,108,970,182,59583,KWNZ,
Troleibusai,17,17331001611,1594,25299488,54696268,12,2,971,-36,59826,,
Autobusai,40,17337401617,975,25254310,54727358,36,6,977,173,59831,Z,
Troleibusai,6,17367651626,1681,25234728,54661658,32,20,986,23,59710,KZ,
Troleibusai,20,16493511623,1642,25279968,54690358,6,2,983,59,59832,,
Troleibusai,16,17367841600,2691,25207580,54685078,26,14,960,68,59409,KZ,
Troleibusai,2,17330751554,1703,25285018,54670798,0,62,954,10,59830,KZ,
Autobusai,73,16737311558,768,25259920,54670690,3,234,958,38,59824,KZ,
Autobusai,114,17310751612,7034,25326338,54708888,50,112,972,348,59777,KWNZ,
Autobusai,2G,16842601625,4019,25255098,54672968,22,318,985,122,59820,KZ,
Troleibusai,4,17368201614,1656,25270848,54691740,0,218,974,-126,59828,,
Troleibusai,7,17274761630,2712,25220790,54716360,0,206,990,-7,59827,KZ,
Troleibusai,17,17330921557,1119,25298140,54722998,4,306,957,-193,59835,,
Autobusai,4G,17343941544,8044,25340878,54724718,0,352,944,0,59830,KWNZ,
Troleibusai,2,17330781549,1614,25340568,54724678,0,212,949,0,59830,,
Autobusai,73,16737321615,769,25254370,54706890,54,150,975,210,59776,KZ,
Autobusai,43,16828021624,8033,25280100,54691620,2,8,984,412,59836,KWNZ,
Troleibusai,19,17368011617,2510,25304358,54705050,25,184,977,133,59830,,
Autobusai,49,17180941628,4517,25215038,54665930,16,24,988,-28,59582,KWNZ,
Autobusai,4G,17343771601,8014,25314810,54711210,0,12,961,52,59828,KWNZ,
Autobusai,56,17337561555,4513,25259128,54686548,0,190,955,127,59528,KWNZ,
Autobusai,1G,17217971539,4156,25282240,54762740,0,136,939,0,59590,KWNZD,
Autobusai,87,16663181611,722,25259958,54801650,44,340,971,270,59791,Z,
Autobusai,3G,17337151622,4577,25272898,54666170,29,354,982,420,59828,KWNZD,
Autobusai,21,16202791619,3117,25241938,54670908,1,280,979,15,59776,KWNZ,
Autobusai,66,17337611551,974,25284558,54704258,0,316,951,0,59829,Z,
Autobusai,32,17078751607,3121,25200440,54735888,49,90,967,29,59356,KWNZ,
Autobusai,59,16227951607,3116,25216950,54681310,36,332,967,54,59656,KWNZ,
Troleibusai,16,17367871554,2757,25233968,54726750,0,10,954,-124,59831,KZ,
Troleibusai,18,17038721629,2551,25218138,54650538,33,46,989,66,59827,,
Autobusai,19,16506521619,4136,25285408,54618428,61,244,979,-89,59834,KWNZ,
Troleibusai,15,16493201635,1565,25283680,54671050,6,272,995,-55,59838,,
Autobusai,1G,17218111629,4179,25276878,54742808,0,198,989,56,59820,KWNZD,
Autobusai,76,17337631636,4033,25271190,54738500,33,54,996,-65,59840,KZ,
Autobusai,75,16203151622,780,25220748,54699068,0,88,982,-48,59823,KZ,
Troleibusai,2,17330671600,1723,25283750,54674148,9,178,960,-108,59835,KWNZ,
Autobusai,2G,16842551554,4169,25241848,54670510,0,40,954,-110,59533,KWNZD,
Autobusai,31,16214231608,744,25404720,54678958,53,66,968,23,59831,KZ,
Autobusai,26,17154671636,7040,25285080,54806950,42,292,996,-11,59827,KWNZ,
Autobusai,10,17311261625,4135,25268028,54729328,0,166,985,75,59762,KWNZ,
Troleibusai,6,17367611610,1725,25278368,54690550,0,162,970,-1,59834,KWNZ,
Autobusai,49,17180961627,944,25286680,54714308,0,180,987,-57,59831,Z,
Autobusai,114,17310721558,2-17145,25314360,54727800,0,232,958,68,59349,,
Autobusai,1G,17217951546,4185,25282198,54762728,0,8,946,0,59832,KWNZD,
Autobusai,52,,985,25277318,54690898,0,106,,,58894,Z,
Autobusai,48,15657391632,4531,25265460,54749008,47,220,992,-31,59836,KWNZ,
Autobusai,87,16663171525,4514,25245470,54717120,0,164,925,0,59830,KWNZ,
Troleibusai,7,17274781600,2687,25222780,54721710,14,348,960,3,59830,KZ,
Autobusai,2G,16842671551,4197,25251570,54732958,31,58,951,118,59764,KWNZD,
Troleibusai,6,17367681545,1608,25284198,54705010,26,4,945,715,59831,,
Autobusai,73,16737281629,3120,25255658,54668080,20,48,989,121,59642,KWNZ,
Autobusai,10,17311281601,4108,25278400,54690558,3,186,961,490,59822,KWNZ,
Autobusai,57,17154751632,7021,25241240,54739678,0,204,992,0,59530,KWNZ,
Autobusai,59,,796,25216850,54692850,15,214,,,58697,KZ,
Troleibusai,9,17274941628,1567,25305098,54714618,28,182,988,-86,59705,,
Autobusai,22,17268461609,798,25272268,54691928,18,94,969,0,59766,KZ,
Autobusai,5,17311201620,966,25234738,54733738,26,146,980,55,59586,Z,
Autobusai,16,16663021630,707,25297588,54667160,23,144,990,9,59775,KZ,
Autobusai,3G,17337111556,4570,25238278,54737070,0,32,956,70,59832,KWNZD,
Autobusai,15,16737481622,7052,25317900,54731818,51,178,982,127,59835,KWNZ,
Autobusai,1G,17218011611,4176,25283860,54703538,0,8,971,156,59707,KWNZD,
Autobusai,41,16634141626,7027,25282478,54672040,9,320,986,63,59471,KWNZ,
Autobusai,24,17337241617,4558,25262228,54685290,51,54,977,-5,59642,KWNZD,
Autobusai,46,17337551630,948,25264130,54700098,40,360,990,39,59833,Z,
Troleibusai,3,17274181618,2746,25279228,54690828,14,278,978,-12,59838,KWNZ,
Autobusai,115,17375191549,3038,25417458,54680018,0,266,949,0,59820,KZ,
Autobusai,115,17375191549,3038,25417458,54680018,0,266,949,0,59820,KZ,
Autobusai,20,17375381617,7064,25134948,54642220,60,176,977,53,59820,KWNZ,
Autobusai,66,17337601616,932,25290970,54752160,54,82,976,217,59838,Z,
Troleibusai,17,17330941611,1730,25279278,54690860,27,278,971,-47,59827,KWNZ,
Autobusai,53,17374951617,4584,25282750,54699338,0,12,977,34,59768,KWNZD,
Autobusai,75,16203191559,789,25216498,54710610,0,208,959,1,59766,Z,
Autobusai,2G,16842641531,4195,25281420,54756450,0,78,931,0,59807,KWNZD,
Autobusai,38,16827661618,7058,25371590,54729660,11,286,978,23,59707,KWNZ,
Troleibusai,17,17330891631,1630,25305040,54717550,22,152,991,-81,59830,,
Autobusai,5,17311211544,949,25300670,54710888,0,194,944,0,59612,Z,
Autobusai,14,17275541605,7043,25432458,54688818,47,30,965,77,59839,KWNZ,
Autobusai,2G,16842561611,4020,25222560,54699038,20,28,971,-31,59825,KZ,
Troleibusai,17,17330931632,1699,25267558,54677210,40,350,992,-3,59831,KZ,
Autobusai,5G,17311161551,4572,25219360,54735080,0,264,951,0,59798,KWNZD,
Troleibusai,10,17367791545,1729,25269238,54672100,0,178,945,254,59830,KWNZ,
Autobusai,53,17374931556,742,25277090,54684028,25,182,956,441,59837,KZ,
Autobusai,53,17375031602,4596,25281700,54695090,0,180,962,417,59819,KWNZD,
Autobusai,33,17219901616,4545,25302398,54677238,17,278,976,-52,59828,KWNZ,
Autobusai,87,16663211526,964,25266728,54735818,0,112,926,173,59828,Z,
Troleibusai,4,17368191552,1609,25303598,54692920,0,56,952,174,59525,,
Troleibusai,6,17367621610,1618,25277670,54684828,16,32,970,29,59832,,
Autobusai,3G,17337071609,4563,25279800,54691008,0,188,969,274,59824,KWNZD,
Troleibusai,19,17368061609,2564,25276830,54696080,18,308,969,-4,59828,,
Troleibusai,4,17368231606,1595,25269850,54690468,0,22,966,102,59586,,
Autobusai,4G,17343871613,8045,25281320,54694698,1,104,973,-15,59655,KWNZ,
Autobusai,53,17375021628,749,25255970,54720978,16,150,988,-50,59816,KZ,
Troleibusai,19,17367991636,1658,25234010,54727848,7,200,996,0,59764,,
Autobusai,88,17275921621,7051,25285620,54674108,0,268,981,-22,59830,KWNZ,
Autobusai,30,16202892003,785,25216870,54703448,0,148,1203,0,59608,KZ,
Troleibusai,17,17330851626,1617,25271560,54691968,6,42,986,-121,59828,,
Troleibusai,7,17274801608,2694,25223120,54699890,13,298,968,30,59657,KZ,
Autobusai,5G,17311131625,4025,25306550,54723010,0,220,985,30,59827,KZ,
Autobusai,69,17181111548,759,25216100,54692218,16,212,948,64,59829,Z,
Troleibusai,17,17330961552,1657,25269628,54671030,0,168,952,-104,59298,,
Troleibusai,17,17330971604,1662,25264858,54682858,25,178,964,-59,59834,,
Autobusai,36,,717,25296320,54752270,15,72,,,58079,KZ,
Autobusai,7,17375281605,8008,25274528,54712710,0,90,965,394,59832,KWNZ,
Autobusai,49,17180991537,729,25266030,54734920,43,354,937,0,59706,KZ,
Autobusai,49,17180991537,729,25266030,54734920,43,354,937,0,59706,KZ,
Autobusai,4G,17343901625,2-26512,25209218,54700090,36,112,985,-76,59596,,
Autobusai,89,17375111600,4550,25288308,54694330,2,344,960,-92,59654,KWNZ,
